problem_type,goal_check_delay,problem_number,execution_time,algorithm_name,solution_found
complex,10,10,4349.59,Using C++ async,False
complex,10,10,10649.5,Synchronization with thread director,False
complex,10,10,4138.38,Using C++ for_each,False
complex,10,10,24732.0,Recursive async,False
complex,10,10,4137.56,C++ any_of,False
complex,10,10,1665.67,Recursive C++ for_each,False
complex,10,10,24878.8,Sequential,False
complex,10,9,338.76,Using C++ async,True
complex,10,9,39002.8,Recursive async,True
complex,10,9,225.33,Recursive C++ for_each,True
complex,10,9,333.62,C++ any_of,True
complex,10,9,963.5,Using C++ for_each,True
complex,10,9,775.62,Synchronization with thread director,True
complex,10,9,507.75,Using C++ tasks,True
complex,10,9,9324.68,Sequential,True
complex,10,12,21.57,Using C++ tasks,True
complex,10,12,21.47,Using C++ for_each,True
complex,10,12,34624.6,Recursive async,True
complex,10,12,22.33,C++ any_of,True
complex,10,12,223.09,Sequential,True
complex,10,12,22.05,Using C++ async,True
complex,10,12,286.65,Recursive C++ for_each,True
complex,10,12,4.27,Synchronization with thread director,True
complex,10,47,24637.3,Recursive async,True
complex,10,47,8441.13,Sequential,True
complex,10,47,337.03,Using C++ async,True
complex,10,47,337.97,C++ any_of,True
complex,10,47,1812.22,Synchronization with thread director,True
complex,10,47,335.07,Using C++ for_each,True
complex,10,47,341.26,Using C++ tasks,True
complex,10,47,144.25,Recursive C++ for_each,True
complex,10,11,679.97,Sequential,True
complex,10,11,1069.28,Recursive C++ for_each,True
complex,10,11,640.65,Synchronization with thread director,True
complex,10,11,34783.8,Recursive async,True
complex,10,11,40.22,Using C++ async,True
complex,10,11,40.03,C++ any_of,True
complex,10,11,39.53,Using C++ for_each,True
complex,10,11,39.91,Using C++ tasks,True
complex,10,1,28.82,C++ any_of,True
complex,10,1,614.47,Recursive C++ for_each,True
complex,10,1,28.9,Using C++ async,True
complex,10,1,441.62,Sequential,True
complex,10,1,28.94,Using C++ for_each,True
complex,10,1,28.85,Using C++ tasks,True
complex,10,1,1084.73,Recursive async,True
complex,10,1,1143.61,Synchronization with thread director,True
complex,10,8,31750.2,Recursive async,True
complex,10,8,534.16,Using C++ tasks,True
complex,10,8,387.07,Recursive C++ for_each,True
complex,10,8,537.91,Using C++ for_each,True
complex,10,8,5562.18,Sequential,True
complex,10,8,541.23,C++ any_of,True
complex,10,8,94.87,Synchronization with thread director,True
complex,10,8,539.07,Using C++ async,True
complex,10,6,22.28,C++ any_of,True
complex,10,6,258.53,Sequential,True
complex,10,6,22.71,Using C++ async,True
complex,10,6,166.89,Recursive C++ for_each,True
complex,10,6,22.18,Using C++ for_each,True
complex,10,6,22261.6,Recursive async,True
complex,10,6,22.89,Using C++ tasks,True
complex,10,6,43.91,Synchronization with thread director,True
complex,10,19,31.42,Using C++ for_each,True
complex,10,19,783.44,Recursive C++ for_each,True
complex,10,19,7.59,Synchronization with thread director,True
complex,10,19,31.36,C++ any_of,True
complex,10,19,23142.8,Recursive async,True
complex,10,19,32.13,Using C++ tasks,True
complex,10,19,31.14,Using C++ async,True
complex,10,19,206.71,Sequential,True
complex,10,40,72.72,Sequential,True
complex,10,40,27566.3,Recursive async,True
complex,10,40,57.43,Synchronization with thread director,True
complex,10,40,2.74,Using C++ async,True
complex,10,40,2.47,C++ any_of,True
complex,10,40,2.37,Using C++ for_each,True
complex,10,40,2.56,Using C++ tasks,True
complex,10,40,192.65,Recursive C++ for_each,True
complex,10,4,35221.5,Recursive async,False
complex,10,4,5639.71,C++ any_of,False
complex,10,4,36213.0,Sequential,False
complex,10,4,5635.0,Using C++ for_each,False
complex,10,4,5654.94,Using C++ async,False
complex,10,4,13263.9,Synchronization with thread director,False
complex,10,4,5828.61,Using C++ tasks,False
complex,10,4,2375.84,Recursive C++ for_each,False
complex,10,33,21.6,Synchronization with thread director,True
complex,10,33,903.8,Sequential,True
complex,10,33,102.58,Using C++ tasks,True
complex,10,33,101.98,Using C++ async,True
complex,10,33,101.89,C++ any_of,True
complex,10,33,102.16,Using C++ for_each,True
complex,10,33,25073.3,Recursive async,True
complex,10,33,912.68,Recursive C++ for_each,True
complex,10,21,16.97,Synchronization with thread director,True
complex,10,21,673.13,C++ any_of,True
complex,10,21,56.93,Sequential,True
complex,10,21,8.48,Using C++ tasks,True
complex,10,21,4.35,Using C++ async,True
complex,10,21,453.45,Recursive C++ for_each,True
complex,10,21,4.29,Using C++ for_each,True
complex,10,21,875.0,Recursive async,True
complex,10,24,222.19,Using C++ async,True
complex,10,24,1514.48,Sequential,True
complex,10,24,2266.42,Synchronization with thread director,True
complex,10,24,226.91,Recursive C++ for_each,True
complex,10,24,221.51,Using C++ tasks,True
complex,10,24,222.84,C++ any_of,True
complex,10,24,223.01,Using C++ for_each,True
complex,10,24,14273.7,Recursive async,True
complex,10,3,579.41,Using C++ async,True
complex,10,3,577.43,Using C++ tasks,True
complex,10,3,15249.2,Recursive async,True
complex,10,3,185.83,Recursive C++ for_each,True
complex,10,3,5138.04,Sequential,True
complex,10,3,572.75,C++ any_of,True
complex,10,3,50.82,Synchronization with thread director,True
complex,10,3,579.16,Using C++ for_each,True
complex,10,7,142.21,Recursive C++ for_each,True
complex,10,7,112.55,Sequential,True
complex,10,7,4.58,Using C++ for_each,True
complex,10,7,4.37,C++ any_of,True
complex,10,7,4.7,Using C++ tasks,True
complex,10,7,1101.63,Recursive async,True
complex,10,7,19.11,Synchronization with thread director,True
complex,10,7,4.61,Using C++ async,True
complex,10,42,6424.54,Using C++ for_each,False
complex,10,42,28985.7,Recursive async,False
complex,10,42,29929.0,Sequential,False
complex,10,42,6455.36,Using C++ async,False
